,Streamer,Followers,Min_views,Max_views,Avg_views,Other_games,Description,translated_texts,language
206,666_prada,27520,80.0,187.0,133.0,0,6000 Shadow Fiеnd matches | max mmr 7830 | 1st 30lvl Sf.,6000 shadow fiеnd matches | max mmr 7830 | 1st 30lvl sf.,en
207,zxcviolence,27201,296.0,296.0,296.0,0,Сотрудничество ~ zxcviolence@gmail.com        Реклама ~ https://vk.com/darkhezz    ,cooperation ~ zxcviolence@gmail.com advertising ~ https://vk.com/darkhezz,ru
208,bafik,26899,9.0,9.0,9.0,0,"The rhyme has to be perfect, the delivery flawless. Все про Dota 2 і не тільки! ","the rhyme has to be perfect, the delivery flawless.everything about dota 2 and not only!",uk
209,bone7,26746,52.0,52.0,52.0,0,,na,1
210,storm_q,26743,594.0,877.0,735.0,0,Люблю Доту!,i love dota!,uk
211,larldotadog,26373,1045.0,1045.0,1045.0,0,Close game enjoyer,close game enjoyer,en
212,btsbrasilesportes,25911,5.0,1493.0,730.0,1,"Somos a BTSBrasilTV, o maior estúdio independente de transmissão de esportes eletrônicos do Brasil, ativo desde 2017. Cobrimos e narramos esports. Este é nosso canal especializado para jogos como Dota, CSGO, PES, FIFA, Rocket League e NBA!","we are btsbrasiltv, brazil's largest independent electronic sports transmission studio, active since 2017. we covered and narrate esports.this is our specialized channel for games like dota, csgo, pes, fifa, rocket league and nba!",pt
213,dariaren,25878,121.0,121.0,121.0,0,ну такая я.. никакая в общем ,"well, i am .. no in general",ru
214,hajapjon,24719,52.0,52.0,52.0,0,"Hello it’s me Haja🤪 I sing every Friday night, play game on Sunday/Tuesday/Thursday. Nice to meet y’all 🤗","hello it’s me haja🤪 i sing every friday night, play game on sunday/tuesday/thursday. nice to meet y’all 🤗",en
215,flunkyflame,24458,10.0,10.0,10.0,0,Профессиональный киберспортивный комментатор Dota2/CS:GO,professional e -sports commentator dota2/cs: go,ru
216,bo_white,23524,47.0,47.0,47.0,0,"Добро пожаловать! Я Бо Вайт =) Играю в Dota 2, Dead by Daylight, The sims 4 и прочие симуляторы. Стримы в вечернее время чаще всего, но бывают и днем xD","welcome!i boit =) i play dota 2, dead by daylight, the sims 4 and other simulators.streams in the evening are most often, but there are a day xd",ru
217,marystv,22940,70.0,478.0,274.0,0,Люблю весь мир!,i love the whole world!,ru
218,betboom_eng,22812,1040.0,5803.0,3368.0,0,"The BetBoom Universe Dota 2 tournament will start on February 1st and will last until February 14th.The first episode will take us to the pages of comics and, we hope, will give all viewers unforgettable emotions from watching","the betboom universe dota 2 tournament will start on february 1st and will last until february 14th.the first episode will take us to the pages of comics and, we hope, will give all viewers unforgettable emotions from watching",en
219,boxi98,22304,940.0,1026.0,983.0,0,Helllo,na,1
221,taitake,20950,182.0,182.0,182.0,0,"Доброго дня! це трансляція українською, для українців.  taitakedota2@gmail.com з приводу співпраці пишіть сюди","good day!this is a broadcast in ukrainian, for ukrainians.taitiedota2@gmail.com for cooperation write here",uk
222,chris_dota,20672,983.0,1046.0,1014.0,0,"Dota 2 Profesional player ,  playing mid for Evil Geniuses :)","dota 2 professional player , playing mid for evil geniuses :)",en
223,iannihilate,19786,538.0,1054.0,836.0,0,Dota 2 Mid player :),dota 2 mid player :),en
224,qsonya,19006,117.0,553.0,335.0,0,люблю покушац и спать,i love to eat and sleep,ru
225,teaguvnor,18888,645.0,645.0,645.0,0,Tea Drinking DPC Analyst   |   Ex Coach Chaos E.C / Hellbear Smashers   |   8.5K Support Player   |   British Chap,tea drinking dpc analyst   |   ex coach chaos e.c / hellbear smashers   |   8.5k support player   |   british chap,en
226,destinyleague_d2_ru,18689,144.0,489.0,271.0,0,Добро пожаловать на официальную трансляцию DestinyLeague_d2. Destiny League - киберспортивный проект по дисциплине Dota 2. Всем приятного просмотра и хорошего настроения,welcome to the official broadcast of destinyague_d2.destiny league - e -sports project in the discipline dota 2. all a pleasant viewing and good mood,ru
227,jubeigaaaa,18227,74.0,74.0,74.0,0,boris sucks,boris sucks,en
228,dogbrain666,17825,568.0,661.0,614.0,0,PMA PLAYER,pma player,en
229,noizen,17569,48.0,48.0,48.0,0,"Меня зовут Максим. Известен в узких кругах как комментатор и аналитик по Heroes of the Storm. Имею специфичное чувство юмора, легкую безрассудность и местами громкий голос. Сейчас фулл тайм стример и комьюнити кастер Heroes of the Storm / Hearthstone: Battlegrounds и начинаем знакомство с Dota 2.","my name is max.known in narrow circles as a commentator and analyst at heroes of the storm.i have a specific sense of humor, a slight recklessness and in places a loud voice.now full tim streamer and komyunity caster heroes of the storm / hearthstone: battlegrounds and begin to get to know dota 2.",ru
230,uniquee,17242,180.0,180.0,180.0,0,Сотрудничество: vk.com/uniwixe ,cooperation: vk.com/uniwixe,ru
231,sunfamejr,17154,73.0,73.0,73.0,0,Заместитель по улучшению комьюнити,deputy to improve the community,ru
232,btsbrasilgames,17094,123.0,123.0,123.0,0,"Somos a BTSBrasilTV, o maior estúdio de transmissão de esportes eletrônicos do Brasil, ativo desde 2017. Cobrimos e narramos esports.","we are btsbrasiltv, brazil's largest electronic sports transmission studio, active since 2017. we covered and narrate esports.",pt
233,gabbidoto,16996,570.0,1199.0,840.0,0,,na,1
234,butterfly,16940,126.0,126.0,126.0,0,,na,1
235,zarkevich,16564,109.0,109.0,109.0,0,,na,1
236,yamichc,16524,55.0,55.0,55.0,0,по поводу сотрудничества пишите https://vk.com/id249240822,"regarding cooperation, write https://vk.com/id249240822",ru
237,narodcast,16368,95.0,1960.0,902.0,0,NarodCast освещают для вас турниры по Dota 2. Сотрудничество - narodcast@gmail.com,narodcast highlights for you dota 2. cooperation - narodcast@gmail.com,ru
238,sadxakoda,16336,695.0,695.0,695.0,0,,na,1
239,ckootuha,16117,138.0,138.0,138.0,0,"Лс, ноунейм, 7к мусор, есть Корги.                                                                                                                                     MeepoGGeomancer@rambler.ru - Commerce ","pm, novenem, 7k garbage, there are corgs.meepoggeomacer@rambler.ru - commerce",ru
240,eksi,16076,84.0,84.0,84.0,0,,na,1
241,zaralizara,16048,13.0,13.0,13.0,0,"Paradise not lost, it's in you. Open endorsement for any bussiness inquiries advertising@emerge-esports.com","paradise not lost, it's in you. open endorsement for any bussiness inquiries advertising@emerge-esports.com",en
242,aiiwan,16016,331.0,3243.0,1413.0,0,"ผม Aiiwan ""ไอ้แว่น"" นักพากย์โดต้า2 หน้าใหม่ ติดตามทัวร์เล็กทัวร์ใหญ่ได้หมด เน้นความมันส์เป็นหลัก วิเคราะห์แม่นไม่แม่นต้องมาลอง!","i am aiiwan. ""glasses"", a new dota dubbed, can follow all the small tour.mainly focusing on funaccurate analysis is not accurate. must try!",th
243,hetag,16015,113.0,113.0,113.0,0,Обычный парень такой же как и вы Просто повезло,an ordinary guy is the same as you just lucky,ru
244,jerichodota,15838,436.0,2183.0,1334.0,3,Contacto: contacto@jerichodota.com,contact: contact@jerichodota.com,es
245,sclkoma,15799,713.0,1129.0,867.0,0,Сотрудничество - sclkomaoffers@gmail.com,cooperation - sclkomaffers@gmail.com,ru
247,hoxieloxie,15653,69.0,69.0,69.0,0,"23, UK, gym goer and Dota 2 streamer for @TundraEsports ❄️business stuff: pikapudge@gmail.com","23, uk, gym goer and dota 2 streamer for @tundraesports ❄️business stuff: pikapudge@gmail.com",en
248,euproleague2_ru,15589,598.0,3192.0,1707.0,0,Welcome to the European Pro League! По вопросам сотрудничества и другим вопросам - europeanprofleague@gmail.com,welcome to the european pro league!for cooperation and other issues - europeanprofleague@gmail.com,ru
249,marnorz,14758,4.0,4.0,4.0,0,"Stream Schedule: M-F 7pm-11pm PSTWeekends - Whatever happens, happens.","stream schedule: m-f 7pm-11pm pst weekends - whatever happens, happens.",en
250,yawar_,14573,517.0,1520.0,1090.0,0,,na,1
251,euproleague_en,14493,37.0,2143.0,1253.0,0,For cooperation and other questions - europeanprofleague@gmail.com,for cooperation and other questions - europeanprofleague@gmail.com,en
252,deabraba,14299,38.0,38.0,38.0,0,"Andréa Vitória, que de vitória só tem o nome. Suport player tentando a vida de streamer.Dota, animes, jogos variados e muito mais, vem  me conhecer! ^^","andréa vitória, who from vitória only has the name.support player trying the life of streamer. dota, anime, varied games and more, come to know me!^^",pt
253,thedimon,14248,25.0,25.0,25.0,0,Сотрудничество  thedimon@internet.ru,cooperation thedimon@internet.ru,ru
254,antohahahha,14022,80.0,1074.0,577.0,0,9k 5 position dota 2 c00l player,9k 5 position dota 2 c00l player,en
255,soda_23,13957,69.0,69.0,69.0,0,Сергей. 29 лет. Стримлю Dota 2. 3500 матчей на морфе. Живу в Москве. Ведущий и организатор интеллектуальных игр.,sergey.29 years.stream dota 2. 3500 matches on the morph.i live in moscow.leading and organizer of intellectual games.,ru
256,armsdota,13654,6.0,6.0,6.0,0,"Sou o Arms, conhecido como bad arminhus, sou jogador profissional de dota 2 no brasil, por aqui tentamos ser o mais amigável possível, também jogamos jogos RPGS retrô de vez em quando!","i'm arms, known as bad arminius, i'm a professional dota 2 player in brazil, here we try to be as friendly as possible, we also play retro rpg games from time to time!",pt
257,skevich_,13623,1486.0,1486.0,1486.0,0,"Називайте мене Скеля, моя робоча пошта: romeoo931@gmail.com","call me a rock, my work mail: romeooo931@gmail.com",uk
258,yulia_pinko,13479,106.0,493.0,302.0,0,Dota 2,dota 2,en
259,esb_dota2_b,13217,308.0,4556.0,2218.0,0,"Creemos en el poder de los esports para lograr sueños, contar historias inspiradoras y cambiar el mundo para bien ⚡","we believe in the power of esports to achieve dreams, tell inspiring stories and change the world for good ⚡",es
260,reira,12562,167.0,167.0,167.0,0,смысл стрима это блин дать тебе понять что тут надо просто смотреть стрим а не быть,the meaning of stream is a pancake to let you understand that you just need to watch a stream and not be,ru
261,bodyaa_,12542,23.0,23.0,23.0,0,"Богдан,Бодя,Бодян,Богданчик,Богдаша,Богдамир!","bogdan, bodya, bodyan, bogdanchik, bogdasha, bogdamir!",uk
262,dota2mc_ua2,12385,959.0,1655.0,1356.0,0,"Maincast — українська кіберспортивна компанія, яка є #1 у Східній Європі. Офіційний бродкастер головних турнірів від Valve та ESL. Тут ти побачиш кіберспорт, який виходить за рамки звичайних трансляцій.",maincast is a ukrainian cyber -sports company that is #1 in eastern europe.official brodcaster of the main tournaments from valve and esl.here you will see a cybersport that goes beyond the usual broadcasts.,uk
263,4desports_2,12135,28.0,12392.0,6210.0,0,"Bienvenido a la cobertura oficial en español de la DreamLeague Season 19! 16 de los mejores equipos en el mundo compiten en un nuevo, compacto, torneo online de alto nivel con un gran pozo de $1,000,000 USD, disfrutemos del mejor Dota competitivo desde el 9 al 23 de Abril!","welcome to the official coverage in spanish of the dreamleague season 19!16 of the best teams in the world compete in a new, compact, high -level online tournament with a large well of $ 1,000,000 usd, let's enjoy the best competitive endow from april 9 to 23!",es
264,rusty,12125,73.0,73.0,73.0,0,"Привет, дорогой зритель, добро пожаловать, чувствуй себя как дома, но не забывай что ты в гостях 🌿 Ознакомься с информацией под стримом и правилами чата ⚠  И приятного просмотра! 🦄 ","hello, dear viewer, welcome, feel at home, but do not forget that you are visiting 🌿 familiarize yourself with information under the stream and the rules of the chat ⚠ and pleasant viewing!🦄",ru
265,euproleague2_en,11910,555.0,863.0,709.0,0,Welcome to the European Pro League! For cooperation and other questions - europeanprofleague@gmail.com,welcome to the european pro league! for cooperation and other questions - europeanprofleague@gmail.com,en
266,dissantro,11881,83.0,83.0,83.0,0,Лучший Arc warden,best arc warden,ru
267,fourapril,11394,479.0,723.0,601.0,0,,na,1
268,art_dotes,10961,15.0,22.0,18.0,0,Invoker King. ,invoker king.,en
269,2b_doto,10847,,,,0,Empty shell of my former self.,empty shell of my former self.,en
272,quoarine_oficial,10281,175.0,175.0,175.0,0,"Soy Quoarine el Tinker numero 1 del mundo, les vengo a traer partidas emocionantes y espero que podamos aprender todos juntos para ser mejores jugadores. Ningún reto es suficientemente alto, ni suficientemente difícil para TINKER. ","i am quoarine the world number 1, i come to bring exciting games and i hope we can learn all together to be better players.no challenge is high enough, nor difficult enough for tinker.",es
273,tiltusha,10209,633.0,633.0,633.0,0,,na,1
274,jessjenius,10016,51.0,51.0,51.0,0,Professional Australian DOTA2 Feeder.,professional australian dota2 feeder.,en
275,pinnacle_dota,9925,7993.0,12307.0,9652.0,0,The world’s sharpest bookmaker sharing unique betting insight. 18+ Gamble responsibly: pinnacle.gg/responsiblegaming 🔞,the world’s sharpest bookmaker sharing unique betting insight. 18+ gamble responsibly: pinnacle.gg/responsiblegaming 🔞,en
276,iceicell,9698,86.0,86.0,86.0,0,я обычный руский парень и мн е все ни по чем,i am an ordinary russian guy and i have anything,ru
277,dota2mc_ua3,9128,193.0,193.0,193.0,0,"Maincast — українська кіберспортивна компанія, яка є #1 у Східній Європі. Офіційний бродкастер головних турнірів від Valve та ESL. Тут ти побачиш кіберспорт, який виходить за рамки звичайних трансляцій.",maincast is a ukrainian cyber -sports company that is #1 in eastern europe.official brodcaster of the main tournaments from valve and esl.here you will see a cybersport that goes beyond the usual broadcasts.,uk
278,hatemeeedog,9008,125.0,136.0,130.0,0,"очень жёсткий игрок в dota two, победитель будущих интов, и просто топ 1 шторм","a very strict player in dota two, winner of future ints, and just a top 1 storm",ru
279,4desports_3,8841,5477.0,11854.0,8665.0,0,"Bienvenido a la cobertura oficial en español de la DreamLeague Season 19! 16 de los mejores equipos en el mundo compiten en un nuevo, compacto, torneo online de alto nivel con un gran pozo de $1,000,000 USD, disfrutemos del mejor Dota competitivo desde el 9 al 23 de Abril!","welcome to the official coverage in spanish of the dreamleague season 19!16 of the best teams in the world compete in a new, compact, high -level online tournament with a large well of $ 1,000,000 usd, let's enjoy the best competitive endow from april 9 to 23!",es
280,convulsx,8768,39.0,39.0,39.0,0,https://vk.com/ebashyvdoty2 сотрудничество ,https://vk.com/ebashyvdoty2 cooperation,ru
281,pinnacle_dota_ru,8757,5160.0,19132.0,12732.0,0,The world’s sharpest bookmaker sharing unique betting insight. 18+ Gamble responsibly: pinnacle.gg/responsiblegaming 🔞,the world’s sharpest bookmaker sharing unique betting insight. 18+ gamble responsibly: pinnacle.gg/responsiblegaming 🔞,en
282,iamkise,8700,26.0,26.0,26.0,0,"psychо but cute ""🐱                                                                                                                                                                                                                  сотрудничество - kisebreeze@gmail.com | https://vk.com/kiseexm","psycho but cute ""🐱 cooperation - kisebreeze@gmail.com | https://vk.com/kiseexm",ru
283,betboom_ru6,8519,787.0,3398.0,1829.0,0,С 12 марта по 4 апреля студия FISSURE совместно с BetBoom осветят для вас второй тур DPC 2023! Смотрите лучшие матчи сильнейших регионов в Dota 2 на каналах betboom_ru и подписывайтесь на социальные сети FISSURE!,"from march 12 to april 4, fissure studio, together with betboom, will lighten the second round of dpc 2023 for you!see the best matches of the strongest regions in dota 2 on betboom_ru channels and subscribe to fissure social networks!",ru
284,mydessery,8139,217.0,217.0,217.0,0,♡ 𝒘𝒆𝒍𝒄𝒐𝒎𝒆 𝒕𝒐 𝒎𝒚 𝒄𝒉𝒂𝒏𝒏𝒆𝒍,♡ 𝒘𝒆𝒍𝒄𝒐𝒎𝒆 𝒕𝒐 𝒎𝒚 𝒄𝒉𝒂𝒏𝒏𝒆𝒍,en
285,4desports_4,8065,1159.0,1159.0,1159.0,0,,na,1
286,dota2mc_ua4,7686,233.0,233.0,233.0,0,"Maincast — українська кіберспортивна компанія, яка є #1 у Східній Європі. Офіційний бродкастер головних турнірів від Valve та ESL. Тут ти побачиш кіберспорт, який виходить за рамки звичайних трансляцій.",maincast is a ukrainian cyber -sports company that is #1 in eastern europe.official brodcaster of the main tournaments from valve and esl.here you will see a cybersport that goes beyond the usual broadcasts.,uk
287,caglaocak,7038,26.0,26.0,26.0,0,"Merhaba. İsmim Çağla, eski nickimle biricibi. 26 yaşındayım. Hacettepe Üniversitesi mezunuyum. Ankara’da yaşıyorum. Yayınlara katılıp, beni desteklerseniz çook mutlu olurum. Umarım eğlenirsiniz.","hello.my name is çağla, my old nickname.26 years old.i am a graduate of hacettepe university.i live in ankara.i would be very happy if you join the publications and support me.i hope you have fun.",tr
288,doubleespresso,7036,99.0,99.0,99.0,0,"Мене змусили запустити цей канал, та стрімити доту, вибачте. Для пропозицій співпраці, писати сюди: doublee7presso@gmail.com","i was forced to launch this channel, and to shoot dota, sorry.for cooperation proposals, write here: doublee7presso@gmail.com",uk
289,nefrita,7008,61.0,61.0,61.0,0,"Малолетняя деликвенточка, несмотря на прямоту и симпатичность... По вопросам сотрудничества nefritasama@mail.ru","small delicenter, despite directness and cute ... on cooperation with nefritasama@mail.ru",ru
290,yuhengtv,6881,615.0,615.0,615.0,0,"Twitch Verified Partner | Believer | Content Creator | Love my Life. Talk about DOTA 2. Always tryna be kind, always persevere and always try to do better","twitch verified partner | believer | content creator | love my life. talk about dota 2. always tryna be kind, always persevere and always try to do better",en
291,kertenkele,6587,114.0,114.0,114.0,0,"I was born in 1999. Even though my school life is a university graduate, my real heart, my goal and my life is to represent Turkey in Dota 2 around the world.","i was born in 1999. even though my school life is a university graduate, my real heart, my goal and my life is to represent turkey in dota 2 around the world.",en
292,earthqdota,6500,30.0,30.0,30.0,0,"Врач-хирург. Максимально позитивный и старый человек, играющий на четверке (7000+ рейтинга). 30 Tusk, 30 Dark Willow, 30 Earth Spirit, 30 Rubick. Не стремлюсь в киберспорт и профессиональную доту, играю ради контента и своих подписчиков. Научу тебя изящно ругаться и материться за один стрим. ","surgeon.the most positive and old man playing on the four (7000+ rating).30 tusk, 30 dark willow, 30 earth spirit, 30 rubick.i do not strive for e -sports and professional dota, i play for the sake of content and my subscribers.i will teach you gracefully swearing and swearing for one stream.",ru
293,lazyfoxyket,6438,35.0,35.0,35.0,0,"Ленивая Фокся, стримит для вас 💖 ","lazy foxy, strip for you 💖",ru
294,krylat,6148,69.0,69.0,69.0,0,https://vk.com/krylatfp по всем вопросам.Спасибо за подписку на соцсети!,https://vk.com/krylatfp on all issues. thank you for a subscription on the social network!,ru
295,narodcast2,6054,49.0,1389.0,605.0,0,NarodCast освещают для вас турниры по Dota 2. Сотрудничество - narodcast@gmail.com,narodcast highlights for you dota 2. cooperation - narodcast@gmail.com,ru
296,esb_dota2_c,6015,835.0,835.0,835.0,0,"Creemos en el poder de los esports para lograr sueños, contar historias inspiradoras y cambiar el mundo para bien ⚡","we believe in the power of esports to achieve dreams, tell inspiring stories and change the world for good ⚡",es
297,cw_arena_dota2,5695,974.0,4774.0,2516.0,0,"Киберспортивная лига по DOTA 2. Участия может принять любой желающий и совершенно бесплатно! У нас есть 2 дивизиона: Первый c 4500 ммр+(есть исключения) Второй от 1500 до 4500 ммр (есть исключения) Для лоу ммр игроков у нас есть ""коуч матч"" Для участия заходите на наш discoed сервер и пишите админу.",the e -sports league for dota 2. anyone can take part and completely free!we have 2 divisions: the first c 4500 mm+(there are exceptions) of the second from 1500 to 4500 mmr (there are exceptions) for law mmr players we have a “coach match” to participate on our discoed server and write the admin.,ru
298,doomfernus,5394,49.0,49.0,49.0,0,"Евгений, живу в МСК, работаю фронтенд программистом, провожу политические стримы, аукционы на контент от зрителей, слушаю тяжеляк, иногда в игры играю и на гитаре. Сотрудничество - doomfernus@gmail.com","eugene, i live in moscow time, i work front -end programmer, i spend political streams, auctions for content from the audience, listen to a heavyweight, sometimes i play games on the guitar.cooperation - doomfernus@gmail.com",ru
299,babuflexss,5387,41.0,41.0,41.0,0,top1 broodmother ,top1 broodmother,en
300,meks120kg,5373,15.0,15.0,15.0,0,,na,1
301,ancientsleague,5295,93.0,93.0,93.0,0,Ancients League is an online-tournament among regional teams from Eastern Europe and Central Asia,ancients league is an online-tournament among regional teams from eastern europe and central asia,en
302,sergeymorpeh,4795,3094.0,3094.0,3094.0,0,Морпех на пути к 3000 ММР,marine on the way to 3000 mmr,ru
303,364847pwnz,4706,88.0,88.0,88.0,0,"ᴛы ᧐щуᴛᥙɯь ᴛᥱᥰ᧘᧐, уʙᥙдᥱʙ ʍ᧐ᥱ ʍᥱρᴛʙ᧐ᥱ ᴛᥱ᧘᧐","ᴛ ᧐ ᧐ ᥙɯ ᥙɯ ᴛᥱᥰ ᧘᧐, uʙ ᥙ d ᥱʙ ʍ᧐ ᥱ ʍᥱ ρᴛʙ ᧐ ᥱ ᴛᥱ ᧘᧐ ᧘᧐",kk
305,life_d01,4655,22.0,22.0,22.0,0,Девиз: Разье**сь но Поднимусь!!!,motto: vapor ** but i'll rise !!!,ru
306,kingjeffo,4650,28.0,28.0,28.0,0,"A streamer that's professionally bad at video game from Malaysia, love pushing myself to the limit and meeting new people along the way! Business Inquiries: majesticjeffo@gmail.com","a streamer that's professionally bad at video game from malaysia, love pushing myself to the limit and meeting new people along the way! business inquiries: majesticjeffo@gmail.com",en
307,flufee02,4469,16.0,16.0,16.0,0,Broadcast Talent - Coach for VCT APAC and PH | Content Creator for Oasis Gaming | Big Nerd,broadcast talent - coach for vct apac and ph | content creator for oasis gaming | big nerd,en
308,tinkeroi,4428,21.0,21.0,21.0,0,Tinker Spammer | 5k games tinker | Follow my twitch channel ^_^,tinker spammer | 5k games tinker | follow my twitch channel ^_^,en
309,irembs,4361,32.0,32.0,32.0,0,"Atatürk, DotA 2, books, purple, DKTT, love person. İrem.","atatürk, dota 2, books, purple, dktt, love person. i̇rem.",en
311,esbdota1,4220,23.0,23.0,23.0,0,Киберспортивная лига ESportsBattle,esportsbattle evortion league,ru
312,xxxeca,3760,20.0,20.0,20.0,0,,na,1
313,azuahri,3760,14.0,14.0,14.0,0,о себе,about me,ru
314,kaktuz127,3720,13.0,13.0,13.0,0,"Здравствуй путник, здесь стримится дотан. Много дотана. Вкратце, катаю на 3-5 позиции. Ранг титан 200. Смогу чему-то научить, что- то подсказать - вообще не вопрос))Иногда буду заливать видосы на ютуб, с разборкой персонажей на которых катаю. Ну что бы прям вообще было все по красоте.","hello a traveler, dutan is striving here.a lot of dotan.briefly, i ride 3-5 positions.the rank of titanium 200. i can teach something to suggest something- it’s not a question at all)) sometimes i will fill in the vidos on youtube, with disassembling the characters on which i ride.well, it would be just all in beauty in general.",ru
315,veegur,3711,393.0,459.0,425.0,0,"Не по вкусу вкусно, а по сути вкусно!","it is not tasty to taste, but in fact tasty!",ru
316,verudemi,3642,50.0,50.0,50.0,0,"VERU ⬩ Killer Doll ⬩ Games, Anime Noises & Screaming","veru ⬩ killer doll ⬩ games, anime noises and screaming",en
317,asiimovls,3633,43.0,43.0,43.0,0,ls - low skill,ls - low skill,en
318,ksena_tv,3438,26.0,26.0,26.0,0,,na,1
319,narodcast3,3397,56.0,785.0,319.0,0,NarodCast освещают для вас турниры по Dota 2. Сотрудничество - narodcast@gmail.com,narodcast highlights for you dota 2. cooperation - narodcast@gmail.com,ru
320,korrossu,3289,47.0,47.0,47.0,0,OG.korrossu👑,and.korrrossu👑,is
321,rzstv,3220,15.0,15.0,15.0,0,"Salve galera !! essa é minha live , me segue no insta sempre vou mandar as novidades por lá! https://www.instagram.com/rzs_gamer/","save guys !!this is my live, follow me on insta i will always send the news there!https://www.instagram.com/rzs_gamer/",pt
322,maddogsleague,3145,49.0,49.0,49.0,0,Dota League,dota league,en
323,freak_livingbrick,3125,74.0,198.0,136.0,0,"Мы почти ничего не знаем о freak_livingbrick, но мы уверены, что freak_livingbrick — фрик конкретный не подписывайтесь на него никогда (с) Twitch","we know almost nothing about freak_livingbrick, but we are sure that freak_livingbrick - frick specific never subscribe to it (c) twitch",ru
324,dabex,3042,40.0,40.0,40.0,0,"Какой-то стример, который что-то стримит, для тех, кто любит что-то смотреть. По всем вопросам: dabextv@mail.ru",some streamer who streams something for those who like to watch something.for all questions: dabextv@mail.ru,ru
325,jenik_dota,2960,732.0,732.0,732.0,0,ALO i am Jenik,alo i am jenik,en
326,superlasca,2932,6.0,6.0,6.0,0,"Gaming since 2000, I will game 4ever. If you like the content drop a follow. Smile while you have teeth.        Contact: laza_alex@yahoo.com","gaming since 2000, i will game 4ever. if you like the content drop a follow. smile while you have teeth.        contact: laza_alex@yahoo.com",en
327,arakkov,2843,26.0,26.0,26.0,0,"Sou conhecida como Arakkov ou Ved'ma (bruxa). Doteira há muitos anos, apaixonada por jogos em geral, RPGzeira. Metaleira. Formada em Artes: às vezes arrisco uns rabiscos por aqui. Inventei de streamar recentemente e gostei. Vem me fazer companhia!","i am known as arakkov or ved'ma (witch).dimeira for many years, passionate about games in general, rpgzeira.metal.graduated in arts: sometimes i risk some scribbles here.i invented from streamamar recently and liked it.come make me company!",pt
328,ognennyj,2801,3.0,3.0,3.0,0,,na,1
329,chubzarik_dota,2798,53.0,53.0,53.0,0,"Привет! Я бывший тинкерпикер, учил чемпиона TI играть на роботе, стрелял ракетами в других чемпионов TI на фонтане и многое другое. Но после реворка героя это в прошлом - теперь я учусь играть на керри, но продолжаю пропагандировать нетоксичность в Доте! Также на канале бывают стратегии.","hello!i am a former tinerpicker, taught the ti champion to play on the robot, shot missiles in other ti champions on the fountain and much more.but after the hero’s revorka, this is in the past - now i am learning to play kerry, but i continue to promote non -toxicity in dota!there are also strategies on the channel.",ru
330,m88esports,2794,618.0,1351.0,1081.0,0,The official twitch channel of M88 Mansion Esports,the official twitch channel of m88 mansion esports,en
331,discipleq,2771,32.0,32.0,32.0,0,https://t.me/discipleqhere если интересно что со мной. ,https://t.me/discipleqhere if it is interesting to me.,ru
332,perec_amigo,2771,28.0,28.0,28.0,0,Беларусь Минск,"belarus, minsk",ru
333,perolya,2706,42.0,42.0,42.0,0,"Привет, меня Пероля зовут (◕‿◕) Стримы: вт, пт, сб, вс. По вопросам можешь написать в любую из социалок „• ᴗ •„","hi, my name is the name (◕‿◕) streams: tue, fri, sat, sun.for questions, you can write to any of the socialists „• ᴗ •„",ru
334,lazshorty,2608,59.0,59.0,59.0,0,"Hi. An experienced old school dota player from Turkey-Istanbul who likes to do his best in any game. Enjoy the show,have fun!","hi. an experienced old school dota player from turkey-istanbul who likes to do his best in any game. enjoy the show,have fun!",en
335,rizbai,2459,31.0,31.0,31.0,0,меня воспитал интернет и немного мать,i was raised by the internet and a little mother,ru
336,secretdota11,2438,87.0,87.0,87.0,0,,na,1
337,lemchanskiy,2389,2.0,2.0,2.0,0,"Это путь, который я выбрал, выиграть или проиграть. Это единственный ход, который я могу сделать прямо сейчас. После 19 лет бездействия это то, что я должен делать со своей жизнью. Сотрудничество и реклама: t.me/king_lemchanskiy","this is the path that i chose, win or lose.this is the only move that i can do right now.after 19 years of inaction, this is what i should do with my life.cooperation and advertising: t.me/king_lemchanskiy",ru
338,icedmica,2377,26.0,30.0,28.0,0,"i provide art relief and immense hangery in game. I also dance, sometimes? | icedmica@gmail.com","i provide art relief and immense hangery in game. i also dance, sometimes? | icedmica@gmail.com",en
339,cheburashkaaaaaaaa,2334,28.0,28.0,28.0,0,"Привет мой дорогой фолловер, рад приветствовать тебя в наших рядах :)","hello my dear follower, i am glad to welcome you in our ranks :)",ru
340,katya_kond,2086,12.0,12.0,12.0,0,"Ку привет, ты красивая, а сколько ммр ? А че только турбо играешь ? А че такая грустная ? А че серьезная такая? А какой любимый герой ? А сколько часов ?","ku hello, you are beautiful, and how many mmr?what are you playing turbo?what is so sad?why is it serious?what is your favorite hero?how many hours?",ru
341,high_shaggy,2060,23.0,316.0,169.0,0,"UW PMATH/STAT major, currently trying to go pro, 8.8k now.  My favourite artists are Juice WRLD, Lil Uzi and Trippie Redd. I offer coaching on all positions for a measly $25 USD/hour. DM me on discord (Jacks#3857) if you're interested :) ","uw pmath/stat major, currently trying to go pro, 8.8k now.  my favourite artists are juice wrld, lil uzi and trippie redd. i offer coaching on all positions for a measly $25 usd/hour. dm me on discord (jacks#3857) if you're interested :)",en
